Sample,Ethanol,.alpha..Pinene,X1.3.7.Octatriene..3.7.dimethyl.,X3.Hexenal...Z..,X1.3.6.10.Dodecatetraene..3.7.11.trimethyl....Z.E..,.beta..Myrcene,D.Limonene,Bicyclo.2.2.1.heptane..2.2.dimethyl.3.methylene....1R..,.beta..Ocimene,X3.Octen.5.yne..2.7.dimethyl....Z..,X1.5.Heptadiene..2.5.dimethyl.3.methylene.,X2.6.Octadiene..2.7.dimethyl.,Geraniol,X3.Hexen.1.ol..acetate...Z..,X5.Hepten.2.one..6.methyl.,X3.Hexen.1.ol...Z..,X3.Hexen.1.ol...E..,X2.Decenal...E..,Decanal,Benzaldehyde,Cyclohexanol..1.methyl.4..1.methylethenyl..,X1.6.Octadien.3.ol..3.7.dimethyl.,Benzoic.acid..methyl.ester,X1.2.Ethanediol..monobenzoate,Benzeneacetaldehyde,Benzaldehyde..4.ethyl.,Benzene..1.4.dimethoxy.,Benzyl.alcohol,Phenylethyl.Alcohol,Benzeneethanol...beta..butyl.,Benzofuran..3.methyl.,Benzenemethanol...alpha..ethynyl.,X2.Propenoic.acid..3.phenyl...methyl.ester,Formamide..N.phenyl.,Methyl.anthranilate,X2.Propen.1.ol..3.phenyl.,Benzenepropanal,Benzyl.nitrile,Indole
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87087,0,0,0,0,0
2,0,79201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,185039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88873,0,0,0,0,0,0,0,0,0,0,0,0,123812,0,0,0,0,0,66016
4,0,0,21773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50354,0,0,0,0,27244
5,0,0,0,0,0,0,0,0,419120,0,0,0,0,0,0,0,0,0,0,150210,0,0,0,0,0,0,0,0,0,0,0,0,108798,833966,0,0,0,0,0
6,0,0,0,0,0,0,0,0,74789,0,0,0,0,0,0,0,0,0,0,89498,0,0,0,0,0,0,0,0,0,0,0,0,45882,100162,0,0,0,0,0
7,0,56651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30724,0,0,0,0,0,0
8,0,669869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62684,0,0,0,0,0,0,0,0,0,0,0,0,249806,1698463,0,0,0,0,0
9,0,30298,612517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222837,0,426861,0,0,0,0,0,0,0,0,61672,0,107136,232213,0,0,0,0,113215
10,0,0,0,0,0,0,0,0,0,0,0,0,71976,0,0,0,0,0,0,228763,0,0,0,0,0,0,0,24761,0,0,0,0,524673,122874,0,50721,0,0,112278
